brand,description,price_raw
H&M,FLARED HIGH JEANS,HK$329.00
H&M,WIDE HIGH JEANS,HK$299.00
H&M,WIDE REGULAR JEANS,HK$249.00
H&M,MOM SLIM FIT HIGH WAIST ANKLE JEANS,HK$229.00
H&M,STRAIGHT HIGH JEANS,HK$349.00
H&M,FLARED REGULAR JEANS,HK$249.00
H&M,BARREL HIGH ANKLE JEANS,HK$349.00
H&M,FLARED LOW JEANS,HK$249.00
H&M,WIDE ULTRA HIGH JEANS,HK$229.00
H&M,BELTED PAPER BAG JEANS,HK$299.00
H&M,MOTIF-DETAIL HOODIE,HK$549.00
H&M,PIMA COTTON TOP,HK$249.00
H&M,PRINTED TOP,HK$349.00
H&M,TWIST-DETAIL VEST TOP,HK$199.00
H&M,SMOCKED TOP,HK$159.00
H&M,TAILORED WAISTCOAT,HK$199.00
H&M,DRAPED ONE-SHOULDER TOP,HK$159.00
H&M,TWIST-DETAIL T-SHIRT,HK$199.00
H&M,DRAPED JERSEY TOP,HK$129.00
H&M,PUFF-SLEEVED TOP,HK$299.00
H&M,ONE-SHOULDER MESH TOP,HK$129.00
H&M,INTERLOCK TOP,HK$199.00
H&M,OVERSIZED COTTON T-SHIRT,HK$129.00
H&M,COTTON T-SHIRT,HK$79.00
H&M,GATHERED COTTON JERSEY TOP,HK$99.00
H&M,FITTED T-SHIRT,HK$49.00
H&M,LONG-SLEEVED MICROFIBRE TOP,HK$129.00
H&M,RIB-KNIT PEPLUM TOP,HK$179.00
H&M,FINE-KNIT T-SHIRT,HK$159.00
H&M,RIB-KNIT VEST TOP,HK$99.00
H&M,LONG-SLEEVED JERSEY TOP,HK$129.00
H&M,PICOT-TRIMMED RIBBED T-SHIRT,HK$79.00
H&M,TURTLENECK TOP,HK$79.00
H&M,LONG WAISTCOAT,HK$349.00
H&M,RIBBED BOAT-NECK TOP,HK$229.00
H&M,DENIM DRESS,"HK$1,190.00"
H&M,LONG-SLEEVED WRAP DRESS,HK$449.00
H&M,KNOT-DETAIL BANDEAU DRESS,HK$449.00
H&M,OFF-THE-SHOULDER COTTON DRESS,HK$449.00
H&M,RIB-KNIT DRESS,HK$299.00
H&M,FLARED-SKIRT LACE DRESS,HK$349.00
H&M,FLARED-SKIRT DRESS,HK$229.00
H&M,COTTON DRESS,HK$229.00
H&M,CAP-SLEEVED JERSEY DRESS,HK$249.00
H&M,BUBBLE-HEM DRESS,HK$299.00
H&M,SCALLOPED MINI DRESS,HK$229.00
H&M,FLARED-SKIRT DENIM DRESS,HK$299.00
H&M,BRODERIE ANGLAISE COTTON DRESS,HK$549.00
H&M,TIE-STRAP MAXI DRESS,HK$249.00
